05-Nov-2013,1021.52
06-Nov-2013,1022.75
07-Nov-2013,1007.95
08-Nov-2013,1016.03
11-Nov-2013,1010.59
12-Nov-2013,1011.78
13-Nov-2013,1032.47
14-Nov-2013,1035.23
15-Nov-2013,1033.56
18-Nov-2013,1031.55
19-Nov-2013,1025.13
20-Nov-2013,1022.31
21-Nov-2013,1034.07
22-Nov-2013,1031.89
25-Nov-2013,1045.93
26-Nov-2013,1058.41
27-Nov-2013,1063.11
29-Nov-2013,1059.59
02-Dec-2013,1054.48
03-Dec-2013,1053.26
04-Dec-2013,1058.18
05-Dec-2013,1057.34
06-Dec-2013,1069.87
09-Dec-2013,1078.14
10-Dec-2013,1084.66
11-Dec-2013,1077.29
12-Dec-2013,1069.96
13-Dec-2013,1060.79
