Dates,Series2,Series1
04-Sep-2013,2406.306,871.85
05-Sep-2013,2436.381,879.56
06-Sep-2013,2445.2324,879.58
09-Sep-2013,2477.1853,887.88
10-Sep-2013,2488.276,888.67
11-Sep-2013,2518.294,896.19
12-Sep-2013,2519.106,893.3
13-Sep-2013,2513.7192,888.24
16-Sep-2013,2521.2383,887.76
17-Sep-2013,2525.4136,886.11
18-Sep-2013,2583.495,903.32
19-Sep-2013,2578.3794,898.39
20-Sep-2013,2601.5327,903.31
23-Sep-2013,2561.985,886.5
24-Sep-2013,2571.836,886.84
25-Sep-2013,2552.7393,877.23
26-Sep-2013,2564.2563,878.17
27-Sep-2013,2567.8228,876.39
30-Sep-2013,2575.1753,875.91
01-Oct-2013,2618.5085,887.63
02-Oct-2013,2626.6448,887.38
03-Oct-2013,2601.9873,876.09
04-Oct-2013,2599.603,872.35
07-Oct-2013,2588.5625,865.74
08-Oct-2013,2561.01,853.67
09-Oct-2013,2576.1387,855.86
10-Oct-2013,2622.0847,868.24
11-Oct-2013,2642.1296,871.99
14-Oct-2013,2662.8577,875.94
15-Oct-2013,2690.1306,882.01
16-Oct-2013,2747.2986,897.81
17-Oct-2013,2729.8748,889.21
18-Oct-2013,3115.882,1011.65
21-Oct-2013,3100.1042,1003.27
22-Oct-2013,3121.7,1007.0
23-Oct-2013,3207.8096,1031.45
24-Oct-2013,3199.716,1025.55
25-Oct-2013,3177.5447,1015.19
28-Oct-2013,3187.1,1015.0
29-Oct-2013,3264.156,1036.24
30-Oct-2013,3256.1272,1030.42
31-Oct-2013,3266.9387,1030.58
01-Nov-2013,3265.9873,1027.04
04-Nov-2013,3272.94,1026.0
05-Nov-2013,3268.864,1021.52
06-Nov-2013,3283.0276,1022.75
07-Nov-2013,3245.599,1007.95
08-Nov-2013,3281.7769,1016.03
11-Nov-2013,3274.3115,1010.59
12-Nov-2013,3288.285,1011.78
13-Nov-2013,3365.8523,1032.47
14-Nov-2013,3385.2021,1035.23
15-Nov-2013,3390.077,1033.56
18-Nov-2013,3393.7996,1031.55
19-Nov-2013,3382.929,1025.13
20-Nov-2013,3383.8462,1022.31
21-Nov-2013,3433.1123,1034.07
22-Nov-2013,3436.1936,1031.89
25-Nov-2013,3493.4062,1045.93
26-Nov-2013,3545.6736,1058.41
27-Nov-2013,3572.0496,1063.11
29-Nov-2013,3570.8184,1059.59
02-Dec-2013,3564.1423,1054.48
03-Dec-2013,3570.5515,1053.26
04-Dec-2013,3597.812,1058.18
05-Dec-2013,3605.5293,1057.34
06-Dec-2013,3658.9553,1069.87
09-Dec-2013,3698.0203,1078.14
10-Dec-2013,3731.2305,1084.66
11-Dec-2013,3716.6504,1077.29
12-Dec-2013,3702.0615,1069.96
13-Dec-2013,3680.9414,1060.79
